clean_sentence,dyslexic_sentence,error_type
මට අලුත් බෑග් එකක් හම්බුනා.,මට අලුත් බෑග් එකක් හම්බුනා.,no_error
මල් වට්ටිය ලස්සණයි.,මල් වට්ටිය ලස්සණයි.,no_error
අද ක්ලාස් එක තියෙනවා.,අද ක්ලාස් එක තියෙනවා.,no_error
කැමතිද ඔයා අයිස්ක්‍රීම් කන්න,කැමතිද ඔයා අයිස්ක්‍රීම් කන්න,unknown
අද වැස්ස එනවා.,අද වැස්ස එනවා.,no_error
දුරකථන පටණක්,දුරස පටණක්,phonetic_confusion
බඩගහන්න එපා,අඩගහන්න එපා,unknown
මම ලොකු බැලුමක් පිම්බා.,මම ලොකු ඩැලුමක් පිම්බා,Visual Reversal (b/d)
සියමලා ලස්සනයි.,සියාමලා ලස්ස්සනයි.,visual_scrambling
පැනලා,පැනඩ,phonetic
මට සින්දු කියන්න ඕනි.,මට සින්දු කිවන්ඩ ඔනි,Phonetic
වලක්කු,වලක්කු,visual scrambling
පූසා ගෙදර ඉන්නවා.,පූසා ගෙදර ඉන්නවා.,no_error
මම පොත ගත්තා,මම පොත ඟත්ත,grammar
මම තේ එකක් බීලා එන්නම්.,මම තේ එකක් බීල එන්නම්,Spelling
කොකිස් මම කනවා,කොකිස මම කනව,Phonetic Confusion
සරසවිය,සරසවිය,none
සාලෙ ලයිට් දාන්න.,සාලෙ ලයිට් දාන්න.,none
කොහොමද ඔයාට දැන් සනීප.,කොහොමද ඔයාට දැන් සනීප.,no_error
ඔය පොත මගේ යාලුවා ගාව තියෙනවා.,ඔය පොත මගේ යාලුව ගාව ට්යෙනව.,Visual Scrambling
පන්තියෙ ලමයින් ඉඩගන්නවා.,පන්තියෙ ලමයින් ඉඩගන්නව.,Grammar
පිපිඤ්ඤා ගෙඩිය,පිපිඤ්ඤා ගෙඩිය,no_error
ළමයි සෙල්ලම් කරනවා,ලමයි සෙල්ලම කරනව,phonetic
පොල් ගෙඩිය බිම වැටිලා පළුගු වුණා.,පොල් ගෙඩිය බිම වැටිල පගුන වුනා.,Phonetic
වතුර බොන්න දෙන්න.,වතුර බොන්න දෙන්න.,unknown
බයික් එක ලග.,බය්ක් එක ලග,unknown
පූසා සාලේ ඉන්නවා,පූසා සාලේ ඉන්නවා,no_error
අම්මා කුකි කරනවා,අම්ම කුකි කරනව,grammar
ඔයාල කොහෙද යනවද.,ඔයාල කොහෙද යනවද.,no_error
මං හිතනවා ඒක හොඳයි,මං හිතනව ඒක හොඳයි,Grammatical - Spoken vs Written
අහස නිල් පාටට තියෙනවා,අහස නිල් පාටටික තියනව,Grammar
පැන්සල ගන්න,පැන්සල ගන්ඩ,Phonetic Confusion
අක්කා කෑගහලා කිව්වා,අක්කා කෑගහලා කියනව,unknown
කඩේට යන්න ඕන,කඩෙට යන්ඩ ඔන,Spelling
කාමරය ලස්සනයි,කමරය ලස්සනයි,phonetic confusion
එයාල සින්දු කියනවා වගේ,එයාල සින්දු කියනව වගෙ,Grammar Examples
උන්ගේ අම්මා,උන්ගෙ අම්ම,grammar
එයා ගෙදර ගියාද සන්ධ්‍යා වරුවේ.,එයා ගෙදර ගියාද සන්ද්‍යා වරෙ.,grammar
කියලා කීවා.,කියල කීව.,phonetic_confusion
මල් ගාඩ්න් එකේ ඇත,මල් ගාඩෙන් එකේ ඇත,phonetic_confusion
පොත පොඩිය,පත පොඩිය,visual_scrambling
කතා කරන විදිය හරි වෙනස්,කතා කරන විදිහ හරි වෙනස්,grammar
මම ඩොක්ටර් කෙනෙක් වෙන්න ආසයි.,මම ඩොක්ටර් කෙනෙක් වෙන්ට අසයි.,phonetic_confusion
එයා ඇහේ වීදුරු ග්ලාස් එකක් දැම්මා.,එයා බයෙ වීදුරු ග්ලාස් එකක් දැම්මා.,Phonetic confusion
එයා බඩගිනී නිසා කෑගැහුවා.,එයා බඩගිනී නිසා කෑගැහුවා,unknown
අපි නදී ගහට ගියා.,අපි නදී ගහට ගියා.,no_error
අද කීයද ඉඳලා.,අද කීයද ඉඳලා.,no_error
කෙනෙක් එනවා.,කෙනෙක් එනව,Grammar
අද ඉස්කෝලෙ යන්නෙ නෑ,අද ඉස්කොලෙ යන්නෙ නැ,ඇ/ඈ
කඩල කන්න ඕන,කඩල කන්න ඔන,Spoken vs Written form
පූසා ගහේ උඩ ඉන්නවා.,පූස ගස්සෙ උඩ ඉන්නව.,grammar
එවෙලේ,එවෙලේ,no_error
අද ඉඳලා වැඩ.,අද ඉඳල වැඩ,Spelling
කැඩෙනවා.,කැඩිනව,grammar
මල්ලි කතා කරනවා.,මල්ලි කතා කරනව,unknown
මට පොතක් දෙන්නකෝ.,මට පොතක් දෙන්නකෝ,unknown
කෑමට යනව,කමට යනව,කමට
සීනි ආප්පය හරිම රසයි,සීඩ නාඩය හරිම රසයි,Visual Reversal
සමහර වෙලාවට මට දුක හිතෙනවා.,සමහර වෙලාවට මට දුක හිතෙනව.,grammar
දුරකථනය නාද වෙනවා,දුරකථනය නාද වෙනවා,no_error
පොල් ගහ උසයි වැඩී,පොල් ගහ උසයි ගඩා,Visual Reversal
මම හාලේ ගියා.,මම හාලෙ ගියාව.,grammar
ගාණට වැඩ කරන්න,ගාණට වැඩ කරපියව්,grammar
එයා හොඳට ලියනවා,එය හොදට ලියනව,Phonetic
කෑම කාල ඉන්නවා,කෑම කාල ඉන්නව,grammar
මට කන්න ඩෝනට්ස් ඕන.,මට කන්න ඩොනට්ස් ඔනෙ.,phonetic
බල්ලා සද්ද කරනවා,බල්ලා සද්ද කරනව,grammar
අද නම් ගොඩාක් රස්නෙයි.,අදනම් ගොඩාක් රස්නෙයි.,unknown
අඬු ලනවා,අදු ලනවා,Phonetic
මට බය හිතෙනවා,මට බය හිතෙනව්වා,Grammar
මා ළඟ සල්ලි තියෙනවා.,මං ගාව සල්ලි තියනව.,Phonetic Confusion
දුවන්න වන්නවා,දුනු වනනවා,Visual Reversal
අද මම කඩේට ගියා.,අද මන් කඩේට ගියා,Spelling
රුපියල් දහය ගන්න,රුපියල් දසය ගන්න,phonetic
දුරකථන එපා.,දුරකතන එපා.,phonetic
මගේ යළුවො ඔක්කොම ආවා.,මගේ යළුවො ඔක්කොම ආවා.,no_error
අද ඉස්කෝලෙ ගියා,අද ඉස්කොලෙ ගියා,unknown
මට ඒකට යන්න ඕන.,මං ඒකට යන්න ඔින,Spoken vs Written Confusion
කඩවල් ඇරලා තියෙනවද,කඩවල් ඇරලා තියෙනවද,no_error
පැල වලට වතුර දාන්න,පැලට්ටි වලට වතුර දාන්න,phonetic
කඩල විකුණනවා,කඩල විකුනනව,Phonetic Confusion
කිරි බිබී ඉන්නවා.,කිරි බිබී ඉන්නවා.,no_error
හෙට ගෙදර යන්නෙ,ගමර ගෙදර යන්නෙ,visual_scrambling
අද බඩගිනී වගේ,අද බඩගිනි වගේ,unknown
ලෑල්ල කඩේ තියෙනවා,පලන්ක්කුව කඩේ තියෙනවා,Word Choice
මම පල්ලි යන්න ඩෙහැට,මම පල්ලි යන්න ඩැහැට,Phonetic Confusion
දුර පළාත්කරන් යන්න එපා.,දුර පලන්කරන් යන්න එපා.,scrambled
කතා කරනකොට හයියෙන් කතා කරනවා.,කතා කරනකොට හයියෙන් කතා කරනවා.,no_error
අනිත් ළමයින්ට වඩා මම වෙනස්.,අනිත් ළමයින්ට වඩා මම වෙනස්.,no_error
පාරේ යන සද්දෙට බය හිතෙනවා.,පාරෙ ගඩන් සද්ඩෙට බය හිතෙනව.,Visual Reversal
අපි කඩේට යනවා.,අපි කඩෙට යනව,Spelling
ළමයි එක්ක සෙල්ලම් කළා,ළමයි එක්ක සෙල්ලම් කළා,no_error
එයා ගියාට පස්සේ මට දුක හිතෙනවා.,එයා ගියාට පස්සෙ මට දුක හිතෙනව.,grammar
අම්මා කෑවා කිව්වා,අම්මා කෑව කිව්ව,grammar
පොතේ කතා ලියලා තියෙනවා.,පොතෙ කතා ලියල තියනව.,Grammar
බලන්න ලස්සන දුවලා.,බලන්න ලස්සන දුවලා.,No Error
කෑමටහරි,කමටහරි,visual scrambling
ගන්න දේවල් ලස්සනට හදන්න.,ගන්ඩල් ලනනට බනඩෙය්,visual_scrambling
ඔය කාමරේ දුර්වලයි,ඔය කාමරෙ දුර්වලයි,spoken vs written
සපත්තු දෙක ගේන්න,සපත්තු දෙක ගෙනෙන්න,grammar
බඩුවක් ගෙනාවා.,බඩුවක් ගෙනව.,grammar
මම ඔයාව මතක් කරනවා.,මන් ඔයාව මතක් කරනව,Spelling
එයා ළඟ සල්ලි තිබ්බේ නෑ.,එයා ගාව සලි තිබ්බෙ නෑ.,phonetic
ගන්දාරන් වත්ත ලස්සනයි.,ගන්ඩාරන් වත්ත ලස්සනයි.,Phonetic
බයා කඩේට ගියා.,බයා කඩේට ගියා.,no_error
මම ගියා සුප් කන්න,මම ගියා සූප්පු කන්න,Phonetic Confusion
ගහ ළඟ ඉන්නවා,ගහ ළග ඉන්නව,Phonetic Confusion
බල්ලෝ යනවා,බල්නො යනවා,phonetic
එයා ගොඩක් දුර ගිහිල්ලා තියෙන්නේ.,එයා ගොඩක් දුර ගිහිල්ල තියෙන්නෙ.,grammar
පොත මේසෙ උඩ තියෙනවා,පොත බේසිකෙ තියෙනවා,phonetic confusion
අද ගෙදර යන්නේ,අද ගෙදර යන්නෙ,grammar
පොලිසියට ගියා.,පොලිසියෙඩ ගියා.,unknown
මං නිදා ගන්නවා.,මං නිදා ගන්නව,Grammar
උන්ගේ ළඟ,උන්ගෙ ළඟ,grammatical
බල්ලා වලිගය වනමින් හිටියා.,බල්ලා වලිගය වනාගන හිටිය.,grammar
අම්මා මාර්කට් එකට ගියා,අම්මා මාකට් එකට ගියා,phonetic
එයා හරිම ලස්සනයි නේදේ.,එයා හරිම ලස්සනයි නේදේ.,no_error
එයාට උගන්වන්න ඕනේ.,එයාට උගන්වන්න ඕනේ.,no_error
මට හානිපූරණය අවශ්‍යයි.,මට හානිපූරණය අවශ්‍යයි.,no_error
අද කවුරුත් නෑ.,අද කවුරුත් නැ,Spelling
දුර නැහැ.,දුර නැහැ.,no_error
පිටරට යන්න ආසයි.,පිටරට යන්න ආසයි.,unknown
අද ගෙදර යන්න බෑ.,අද ගෙදර යන්න බැ.,grammar
සිකුරාදා පල්ලියට යනවා,සිකුරාදා පල්ලියට යනවා,no_error
පළිම අතින්,පතිම අතින්,Phonetic Confusion
එය හරිම භයංකාරයි,එය හරිම බයනය,Phonetic Confusion
එය බටහිරක්,එය තතෙබිරක්,letter_order
ගෙදර ඉන්නවා.,උගෙදර ඉන්නව.,Visual Scrambling
පන්සලේ යන්න ඕන,පන්සලේ යන්න ඕන,unknown
අද ඉඳන් සෙල්ලම් කරනවා.,අද ඉඳන් සෙල්ලං ලරනවා.,phonetic_confusion
අහස කළු පාටයි වහිනවා වගේ.,අහස කළු පාටයි වහිනවා වගේ.,no_error
පාඩම ලියන්න ඕනෙ,පඩම ලියන්න ඔනෙ,phonetic
පටුමගය,පටුකගය,Visual Scrambling
පුළුවන් නම් එන්න.,පුලුවන් නම් එන්න.,Phonetic Confusion
ගෙදර යන්න ඕනේ.,ගෙදර යන්න ඕනේ.,no_error
මම පාසලෙ ගියා,මම හතපෙ ගියා,Visual Scrambling
මට පොත් ඕනේ.,මට පොත් ඕනෙ,Spelling
මට ඔයාට කතා කරන්න ඕනේ.,මට ඔයාට කතා කරන්න ඔනෙ,phonetic
අහසේ පාට නිල් පාටයි.,අහසෙ පාට නිල් පාටයි.,Spelling
පොඩි ළමයින් සෙල්ලම් කරනවා.,පොඩි ළමයින් සෙල්ලම් කරනවා.,no_error
තව ටිකයි ඉතිරිවෙන්නේ,තව ටිකයි ඉටින්නේ,phonetic_confusion
උදේ පාන්දර නැගිටිනවා කියන්නෙ ලේසි නෑ.,උදේ පාන්දර නැගිටිනවා කියන්නෙ ලේසි නෑ.,no_error
නංගිට එන්න කිව්වා.,නංගි එන්න කිව්ව.,Grammar
අද අහස නිල් පාටයි.,අඩ අහස නිල් පාටයි.,phonetic
එයා දැන් නිදියි,එයා දැන් නිදියි,no_error
පොත මගේ ගාව නෑ,පොත මගේ ගාව නෑ,no_error
රඟද,රදග,visual_scrambling
අම්මා කෑම හදන්න ඉන්නවා.,අම්මා කෑම හදන්න ඉන්නව.,Grammar
අපි ඉන්න කාලෙ සින්දු කිව්වා.,අපි ගන්ද කාලෙ සින්දු කිව්වා.,න/ණ
පොතේ පිටු කීපය ඉරිලා,පොතෙ පිටු කීපය ඉරිල,Grammar
අද ඉඳලා මම වැඩ කරනවා.,අද ඉඳල මන් වැඩ කරනව,Spelling
මට බයයි,මට බයය්,බයය්/බයයි
පූසා සෙල්ලම් කරන්න දුවනවා.,පූස කෙලින්න දුවනව,Spelling
කඩේට ගියා බත් කන්න,කඩෙට ගියා බත් කන්න,Grammar
එයා ගෙදර ගියා එයාගේ පොතත් අරන්.,එයා ගෙඩර ගියා එයාගෙ පොටත් අරං.,visual_scrambling
එයා නටනවා බලනවා.,එයා නටනවා බලනව,Spelling
අද ස්කෝලේ ගියේ නෑ,අද ස්කොලෙ ගියෙ නෑ,grammar
මල් පෝච්චිය ලස්සනයි.,මල් පෝච්චිය ලස්සනයි.,no_error
පන්තියේ ළමයින් ඉන්නවා,පන්තියේ ලමයින් ඉන්නව,Grammar
ඔය ළමයි කව්ද?,ඔය ලමයි කව්ද,Phonetic (L/L)
ගාල්ලට යන්න ඕනෙ.,ගාල්ලෙ යන්න ඕනෙ.,spoken vs written
කතාව පටන්ගන්න,කතාව පටන්ගන්න,no_error
බඩවල් දෙක දෙන්න,බඩවල් දෙක දෙන්න,no_error
අද නාඩිකාව බලන්න ගියා,අද නාඩිකාව බලන්න ගියා,no_error
අම්මා කතාකරනවා.,අමමා කතාකරනවා,Spelling
අපි හෙට යන්න ඕන.,අපි හෙට යන්න ඔන,Spelling
ගෙදර යමුද?,ගගෙදර යමුද?,visual scrambling
සිකුරාදා ඉස්කෝලේ යන්නෙ නෑ,සිකුරාද ඉස්කොලෙ යන්නෙ න,phonetic confusion
ගණිතය අමාරුයි,ගනිතය අමාරුයි,Phonetic Confusion
බඩ ලොකුයි,බඩ ලොකුයි,N/A
මම ගමනක් යනවා,මං ගමනක් යනවා,unknown
ගහ ළඟට,ගහ ලගට,phonetic
ඔයාල කොහෙද යනවද?,ඔයාල කොහෙඩ යනවද?,Visual Reversal
මට කන්න ඕනෙයි,මට කන්න ඩිඩෙයි,Phonetic Confusion
පන්සලට ගියාම මල් ගෙනිච්චා,පන්සලට ගියාම මල් ගෙනිච්ච,grammar
අම්මා මට කිව්වා කඩේට ගියම බඩුවක් ගන්නඩ කියලා.,අම්මා මට කිව්වා කඩේට ගියම බඩුවක් ගන්නඩ ය කියලා.,grammar
දුක හිතෙන කතාවක් ඒක,දුක හිතෙන කතාවක් ඒක,unknown
පළවෙනි පිටුව බලන්න.,පළවෙනි පිටුව බලන්න.,no_error
ගුරුවරයා ළමයින්ට අවවාද කළා,ගුරුවරයා ළමයින්ට අවවාද කරා,unknown
ඩොක්ටර් ලඟට ගියා,ඩොක්ටර ලඟට ගියා,Visual Scrambling
බල්ලා දුවනවා වත්තේ.,බල්ල දුවනව වත්තෙ.,grammar
මට පොත් ගොල්ලක් ඕනෙ.,මට පොත්ගුල්ලක් ඕනෙ.,Visual Scrambling
අද ඉස්කෝලෙ ලස්සනට තියෙනවා නම්,අද ඉස්කෝලෙ ලස්සනට තියෙනවනම්,grammar
මම පල්ලියට ගියා ඊයේ.,මං පල්ලියට ගියා ඊයේ,Phonetic Confusion
සූරියයා බබළනවා,සූරියයා බබලනව,Phonetic Confusion
මං හිතන්නෙ එයා එන්නෙ නෑ.,මං හිතන්නෙ එයා එන්නෙ නැ,Grammar
ඔය බඩුව ගන්න,ඔය බඩුව ගන්න,unknown
සන්ද්‍යාවේ ගෙදර යන්න ඕන.,සද්‍යවෙ ගෙදර යන්ඩ ඔන.,unknown
අපි කට්ටියක් ගියා.,අපි කටිටියක් ගිය.,ටිටි/ට්ටි
අද වැස්ස වහිනවා,අද වැස්ස වහිනව,Grammar
අනික මං ගියා බැන,අනික මං ගියා ඩැන,visual_reversal
කඩේට යන්න ඕන.,කඩේට යන්න ඔ්න,Spelling
ගඟ ගාව ලස්සන වැලි තියෙනවා.,ගඟ ගාව ලස්සන වැලි තියනවා,unknown
කලේෂන දවස,කලේසන දවස,Phonetic Confusion
මම එහෙට ගියා.,මම එහෙට ගියා.,no_error
පන්තියේ ළමයි ගොඩක් හිටියා.,පන්තිෙය් ළමයි ගොඩක් හිටියා.,Visual Scrambling
සොක් එක හොයාගන්න ඕනෙ,සොක් එක හොයාගන්න ඕනෙ,no_error
පළාතොට,පළාතොට,no_error
මෙන්න බල්ලෙක්.,මෙන්න බල්ලෙක්.,no_error
පූසා බයයි.,පූස බයයි,Spelling
මම හරිම සතුටුයි.,මම හරිම සතුටුයි,unknown
අද රෑමට කන්න මොනවද.,අද රෑමට කන්න මොනවද.,no_error
කෑමට කන්න දෙන්න.,කෑමට කන්න දෙන්න.,no_error
එයාලා එනකම් අපි ඉන්නවා.,එයාලා එනකම් අපි ඉන්නවා.,no_error
පාරේ ලයිට් නිවීගෙන යනවා,පාරේ ලයිට් නිවීගෙන යනවා,no_error
අනවට,අනවට,unknown
ගණන හදනවා,ගනන හදනව,phonetic_confusion
එයා ගිටාර් වාදකයෙක්.,එයා ගිටර් වාදකයෙක්.,Visual Scrambling
අද දවසේ රස්නේ වැඩියි,අද දවසෙ රස්නෙ වැඩියි,Grammar
මට බඩගිනියි.,මට බඩිගිනියි.,Visual Scrambling
සතාගේ භයංකර රූපයක්,සතගෙ බය්යංකර රූපයක්,Phonetic Confusion
පොත් කඩේට යන්න,පටුකගාලයෙ යන්න,Visual Scrambling
පන්තියේ ඉඳගෙන ඉන්නවා,පන්තියෙ ඉඩගන ඉන්නවා,Phonetic Confusion
කවුද කිව්වේ ඔයාට.,කවුද කිව්වේ ඔයාට.,no_error
ගන්දෙනියට ගියා.,ගන්දෙනියෙ ගියා.,Grammar
පළවෙනි පාරට මේක හොඳ නැහැ,පලවෙනි පාරව මේක හොදනැ,Phonetic Confusion/Grammar
මම කඩේ ගියා,මම කඩෙ ගියහ,grammar
මාළු කඩේකට යන්න ඕනේ.,මාළු කඩේකට යන්ඩ ඔනේ.,Phonetic Confusion
කඩේට ගිහින් පාන් ගේන්න.,කඩේට ගිහින් පාන් ගෙන්ඩ.,phonetic_confusion
මට සතෙක්ව හම්බුනා.,මට සතෙක්ව හම්බුනා,unknown
සිකුරාදා ඉස්කෝලේ යන්නේ නෑ.,සිකුරාදා ඉස්කෝලේ යන්නේ නෑ.,no_error
හෙට ඉස්කෝලේ යන්න ඕනේද?,හෙට ඉස්කෝලෙ යන්න ඕනෙ නේද.,grammar
මම යනවා කඩේට බඩුවක් ගන්න.,මං යනවා කඩේට බඩුවක් ගන්නෙ.,grammar
මම ඩොක්ටර් ළඟට ගියා,මම ඩොක්ටර් ලගට ගිය,Phonetic Confusion
මම කඩේ යන ගමන්.,මම කඩෙ යන ගමන්.,Grammar
සලිල,සළිල,phonetic
කන්ද උඩට නැගලා යන්න පුළුවං.,කන්ද උඩට නැගල යන්න පුලුවං.,Phonetic Confusion
අපි හන්දියාවේ ගියා.,අපි හන්දියාවේ ගියා.,no_error
ඔය ළමයා හරි හොඳයි.,ඔය ළමය හරි හොදයි.,ල/ළ confusion
ළමයින් සෙල්ලම් කරනවා බලන්න ලස්සනයි.,ලමයින් සෙල්ලම් කරනව බලන්න ලස්සනයි.,spoken vs written
පොත බලන්න අමාරුයි,පොත බලන්න අමරැයි,phonetic_confusion
මල් වතුරෙන් පිරිලා.,මල් වතරින් පිරිල,Spelling
පොතේ නම මොකක්ද,පොතෙ නම මොකද්ද,Grammar Examples
අපි සිනමා බලන්න යමු,අපි සිනමා බලන්න යන්න,grammar
කට්ටිය හොඳයි,කට්ටය හොදන,කට්ටය -> කට්ටිය
මගේ නම සමන්,මගේ නම සමන්,no_error
අද මම පළතුරු කෑව.,අද මන් පලයන් කෑව.,Spelling
අනික රතුයි,ඇනෙක රතයි,Visual Scrambling
සඳුදා මම එනවා.,සදුදා මම එනවා,Phonetic
පාරේ යනවා,පාරෙ යනවා,grammar
පොලිසියට කතා කරනවා,පොලිසියට කතා කරනව,unknown
අතංගු යනකන් උන්නා.,අතඩ්ගු යනකන් උන්න.,Visual Reversal
මම හෙට පාසැල යනවා.,මම හෙට පාසැල යනවා.,no_error
කඩෙන් බඩුව ගන්න,කඩෙන් බඩුව අරන්න,phonetic
අනිකට කතා කරන්න,අනිකට කතා කරන්න,unknown
ගොඩාක් ස්තූතියි.,ගොඩාක් ස්තුතියි.,unknown
පන්සලේ,පන්සලේ,no_error
හෙට ඉස්කෝලෙ තියෙනවා,හෙට ඉස්කෝලෙ තියෙනවා,no_error
දුරකථනය නාදවෙන සද්දය ඇසෙනවා,දුරකථනය නාදවෙන සද්දය ඇසෙනවා,no_error
ගෙදර හරි ලස්සනයි.,ගෙදර හරි ලස්සනයි.,no_error
පොත තියෙන්නේ මේස උඩ.,පොත තියෙන්ඩෙ මෙස උඩ.,grammar
අද මම සින්දු කියනවා,අද මම සින්දු කියනව,Grammar
ගානට වගේ.,ගානට බනෙ,phonetic
කඩල වඳින.,කඩල වනඩන,Phonetic Confusion
ඔය ළමයට පොතක් දෙන්න,ඔය ළමයට පොතක් දෙන්න,no_error
එයාලා බත් කනවා,එයාලා බත් කනව,කනව -> කනවා
චොකලට් කනව,සොකොලට් කනව,phonetic
අම්මා එනවා කිව්වා.,අමමා එනව කිව්ව,Visual Scrambling
පන්සලට ගියාම සන්තිපුරයක් වගේ.,පන්සලට ගියාම සන්තිපුරයක් වගේ.,no_error
මට බයයි හිතෙනවා.,මට බයයි හිඩෙනවා.,phonetic_confusion
හෙට අපි යන්නේ කොහෙටද,හෙට අපි යන්නෙ කොහෙටඩ,Phonetic Confusion
ගාල්ලේ ඩොක්ටර් කෙනෙක් ඉන්නවා,ගාල්ලේ ඩොක්ටර් කෙනෙක් ඉන්නවා,no_error
මට සල්ලි නෑ නේද.,මට සල්ලි නෑ නෙද.,phonetic_confusion
කොහෙද ඔයා යන්නේ,කොහෙද ඔයා යන්නෙ,unknown
ඔය ළමයා හරි හංකාරයි.,ඔය ළමයා හරි හංකාරයි.,no_error
එය හරිම අමාරු කතාවක්.,එය හරිම අමරැ කතාවක්.,phonetic
ගමේ නම මොකක්ද?,ගමේ නම මොකද්ද,grammar
අඬනවා,අලිඩෙනව,visual reversal
පොලිසියට යන්න වෙලා තිබුණා.,පොලිසියට යන්න වෙල තිබුන.,grammar
පුටුව උඩ ලියා තිබෙන්නේ.,පුටුව උඩ ලියල තියෙන්නෙ,Grammar
එයා හරි නුවණ කාරයි.,එයා හරි නුවණ කාරයි.,no_error
ගහ උඩ කුරුල්ලෝ ඉඳගෙන ඉන්නවා.,ගහ උඩ කුරුලු ඉඩගෙන ඉන්නව.,Grammar
දුප්පත් නඩත්තුවට සල්ලි අවශ්‍යයි.,දුක නඩත්තුවට සලි අවශ්‍යයි.,phonetic
පන්තියේ යන්න ඕනෙ,පන්තිෙ යන්න ඔින,unknown
එයාලා එතන හිටියා.,එයාලා එතන හිටියා,unknown
පොළොව හෙල්ලුනා.,පොළොව හෙල්ලුනා.,unknown
මම කන්න යනවා.,මම කන්න යනව.,unknown
අම්මා මට බඩගිනී,අම්මා මට බඩගිනී,no_error
ඔයාල කතා කරනවද?,ඔයාල කතා කරනවද?,unknown
අද හිට යනව,අද ඉඩට යනව,visual_reversal
එයා හරි අසනීපෙන් ඉන්නෙ.,එයා හරි අසනීපෙන් ඉන්නෙ,unknown
එහෙනම් මමත් යන්නම්.,එහෙනම් මාත් යන්නම්,Spelling
ගාණ නියමයි.,ගාණ නියමයි,unknown
දුර යනකන් බලනවා.,දුර යනකන් බලනව,Spelling
මම හෙට ගාල්ලේ යනවා.,මං හෙට ගාල්ලෙ යනවා.,grammar
ඔයා ලස්සනද කතා කරන්නේ.,ඔයා ලමිස්ද කතා කරනේ.,Phonetic Confusion
හෙට එන්නද?,හෙට එන්නද,Grammar
ගානට වතුර දෙන්න.,ගනාට වතුර දෙන්න,Visual Scrambling
කුඹියෝ,කූබියෝ,phonetic
අනික ඔය වැඩේ කරන්න ඕනි,අනික ඔය වැඩෙ කරන්න ඔනි,grammar
අපි යන්න ඕනෙ.,අපි යන්න ඔන,Spelling
ඔයා මොනවද කළේ,ඔයා මොනද කලේ,phonetic confusion
අපි බස් එකේ ගියා.,අපි ඩස් එකේ ගියා,Visual Reversal (b/d)
අපි සිනමා බලනවා.,අපි සිනමා බලනව.,spoken vs written
බලන්න,බලන්න,unknown
"{""correction"": ""ගඟ ඉවුර කරාට බාධාව."", ""analysis"": [{""word"": ""ගන්ගා"", ""error_type"": ""visual_scrambling"", ""correction"": ""ගඟ"", ""reason"": ""Letters scrambled in the word 'ගඟ'.""}, {""word"": ""ඉඅර"", ""error_type"": ""visual_scrambling"", ""correction"": ""ඉවුර"", ""reason"": ""Letters scrambled in the word 'ඉවුර'.""}, {""word"": ""කරොට"", ""error_type"": ""visual_scrambling"", ""correction"": ""කරාට"", ""reason"": ""Letters scrambled in the word 'කරාට'.""}, {""word"": ""බාඩ"", ""error_type"": ""phonetic_confusion"", ""correction"": ""බාධාව"", ""reason"": ""Phonetic confusion between 'ඩ' and 'ධ', and missing ending.""}, ]}",ගන්ගා ඉඅර කරොට බාඩ,unknown
මට බඩගිනියි,නැන මට බඩගිනියි,unknown
අද ඉස්කෝලෙ යන්නේ නෑ.,අද ඉස්කෝලෙ යන්නෙ නැ.,grammar
වැලි කමත,වලිකමත,visual scrambling
පොලිසියෙන් ඇමතුමක් ආවා.,පොලිසියෙ ඇමතුමක් ආව.,Grammar
මම පාසැලට යන්න හිතෙනවා.,මම පාසැලට යන්න ඩිඩෙනවා.,Phonetic Confusion
එයා ගාව සල්ලි ටිකක් තියෙනවා.,එයා ගාව සල්ලි ටිකක් තියෙනවා.,no_error
උඹ ලස්සනයි නේද.,උඹ ලස්සනයි නේඩ,Visual Reversal (ඩ/බ)
අම්මා මට බත් දුන්නා.,අම්මා මට බත් දුන්න.,grammar
එයා ගොඩක් දුකෙන් ඉඳියි.,එයා ගොඩක් දුකෙන් ඉදියි.,unknown
පොලිසියට කතා කළා,පොලිසියට කතා කලා,grammar
මගේ අම්මා හරිම කරුණාවන්තයි.,මගේ අම්මා හරිම කරුණාවන්තයි.,no_error
පුටුව උඩ පාට දන් තියෙනවා.,පුටුව උඩ පටාදන් තියෙනවා.,Visual Scrambling
කරන්න යනවා,කරනන යනව,phonetic
කිරි බිව්වම මට සන්තෝසයි.,කිරි බිව්වම මට සන්තොසයි.,spoken vs written
පොත ගනින්,පොත ගනින්,no_error
උඩට යන්න එපා දැන්.,උඩට යන්න එපා කඩෙන්,Contextual
පොඩි ළමයින්ට ආදරෙයි.,පොඩි ලමයින්ට ආදරෙයි.,unknown
රට හරිම ලස්සනයි.,රටෙ හරිම ලස්සනයි.,unknown
නුඹ ගෙදර යනවාද?,නුබ ගෙදර යනවාඩ?,Phonetic Confusion
එයා ගෙදර යනවා දැන්.,එයා ගෙදර යනව දැන්.,grammar
අක්කා නැන්දට බැනලා.,අක්ක නැන්දට බැනලා,Spelling
කෙල්ල හිනාවුණා.,කෙල්ල හිනාවුනා,Spelling
බිම ඉඳගන්න,වල ඉඳගන්න,unknown
මාළුවෝ වතුරේ ඉන්නවා.,මාළුවෝ වතුරේ ඉන්නවා.,no_error
පළවෙනි පොත කොහෙද?,පලවෙනි පොත කොහෙඩ.,Phonetic Confusion
ඉස්කෝලෙට ගියා.,ඉස්කොලෙට ගිය.,Grammar
